product_name,price,year_mileage,location
Toyota Rush,Rp 188.000.000,2018 - 70.000-75.000 km,Kebon Jeruk09 Nov
Toyota Calya,Rp 93.000.000,2016 - 95.000-100.000 km,Kemayoran05 Des
Suzuki Ertiga,Rp 119.000.000,2013 - 80.000-85.000 km,Kelapa Gading19 Okt
Mitsubishi Xpander,Rp 236.000.000,2022 - 50.000-55.000 km,Jagakarsa6 hari yang lalu
Daihatsu Sigra,Rp 104.000.000,2018 - 20.000-25.000 km,Duren Sawit25 Okt
Toyota Land Cruiser,Rp 850.000.000,2004 - 130.000-135.000 km,CipayungHari ini
Honda Brio Satya,Rp 123.000.000,2018 - 50.000-55.000 km,CiracasHari ini
Honda Jazz,Rp 243.000.000,2019 - 100.000-105.000 km,Pademangan13 Des
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,CibuburHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,Kramat JatiHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,Duren SawitHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,CakungHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,TebetHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,PancoranHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,JagakarsaHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,PalmerahHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,Grogol PetamburanHari ini
Daihatsu Xenia,Rp 136.000.000,2017 - 35.000-40.000 km,CengkarengHari ini
Wuling Confero S,Rp 105.000.000,2018 - 55.000-60.000 km,Kebayoran BaruHari ini
Suzuki SX4,Rp 148.000.000,2017 - 85.000-90.000 km,Pantai Indah KapukHari ini
Honda CR-V,Rp 324.000.000,2018 - 60.000-65.000 km,Kemayoran07 Des
Honda Jazz,Rp 248.000.000,2019 - 105.000-110.000 km,Pasar Minggu4 hari yang lalu
